Model,Math,Coding,Instruction Following,Creative Writing
gemini-3-pro,0.0034,0.0068,0.0068,0.0000
grok-4.1-thinking,0.0239,0.0171,0.0410,0.0307
gemini-3-flash,0.0000,0.0239,0.0171,0.0068
claude-opus-4-5-20251101-thinking-32k,0.0068,0.0000,0.0000,0.0102
grok-4.1,0.0648,0.0375,0.0478,0.0444
claude-opus-4-5-20251101,0.0034,0.0171,0.0034,0.0034
gemini-3-flash (thinking-minimal),0.0102,0.0307,0.0307,0.0273
gpt-5.1-high,0.0137,0.0410,0.0273,0.0341
gemini-2.5-pro,0.0307,0.0887,0.0341,0.0137
claude-sonnet-4-5-20250929-thinking-32k,0.0205,0.0034,0.0102,0.0239
claude-opus-4-1-20250805-thinking-16k,0.0375,0.0137,0.0137,0.0205
claude-sonnet-4-5-20250929,0.0171,0.0205,0.0205,0.0171
ernie-5.0-preview-1203,0.0478,0.1058,0.0819,0.0478
gpt-4.5-preview-2025-02-27,0.0410,0.1433,0.0444,0.0410
claude-opus-4-1-20250805,0.0375,0.0273,0.0239,0.0375
glm-4.7,0.0341,0.0444,0.0512,0.0614
chatgpt-4o-latest-20250326,0.0546,0.1160,0.0614,0.0546
gpt-5-high,0.0512,0.0751,0.1126,0.1536
gpt-5.1,0.1502,0.0580,0.0546,0.0648
gpt-5.2-high,0.1433,0.0410,0.0648,0.0648
qwen3-max-preview,0.0990,0.0444,0.0580,0.0580
o3-2025-04-16,0.1468,0.0273,0.1570,0.1570
grok-4-1-fast-reasoning,0.0853,0.1741,0.1638,0.1638
kimi-k2-thinking-turbo,0.1160,0.0478,0.0717,0.0717
ernie-5.0-preview-1103,0.0683,0.1468,0.1706,0.1706
gpt-5.2,0.2048,0.0717,0.0853,0.0853
gpt-5-chat,0.1365,0.1399,0.0990,0.0990
qwen3-max-2025-09-23,0.1058,0.0580,0.1058,0.1024
glm-4.6,0.0887,0.0887,0.0887,0.0887
deepseek-v3.2-exp,0.0785,0.1126,0.0956,0.0956
claude-opus-4-20250514-thinking-16k,0.0512,0.1024,0.0375,0.0375
qwen3-235b-a22b-instruct-2507,0.1502,0.0785,0.0785,0.0785
deepseek-v3.2-exp-thinking,0.1195,0.0819,0.0922,0.0922
